Column1,Column2,Column3,Column4
1.0,0.1,0.15,0.15
1.0,0.3,0.15,0.15
1.0,0.7,0.15,0.15
1.0,1.0,0.15,0.15
1.0,0.1,0.15,0.3
1.0,0.3,0.15,0.3
1.0,0.7,0.15,0.3
1.0,1.0,0.15,0.3
1.0,0.1,0.3,0.15
1.0,0.3,0.3,0.15
1.0,0.7,0.3,0.15
1.0,1.0,0.3,0.15
1.0,0.1,0.3,0.3
1.0,0.3,0.3,0.3
1.0,0.7,0.3,0.3
1.0,1.0,0.3,0.3
2.0,0.1,0.15,0.15
2.0,0.3,0.15,0.15
2.0,0.7,0.15,0.15
2.0,1.0,0.15,0.15
2.0,0.1,0.15,0.3
2.0,0.3,0.15,0.3
2.0,0.7,0.15,0.3
2.0,1.0,0.15,0.3
2.0,0.1,0.3,0.15
2.0,0.3,0.3,0.15
2.0,0.7,0.3,0.15
2.0,1.0,0.3,0.15
2.0,0.1,0.3,0.3
2.0,0.3,0.3,0.3
2.0,0.7,0.3,0.3
2.0,1.0,0.3,0.3
3.0,0.1,0.15,0.15
3.0,0.3,0.15,0.15
3.0,0.7,0.15,0.15
3.0,1.0,0.15,0.15
3.0,0.1,0.15,0.3
3.0,0.3,0.15,0.3
3.0,0.7,0.15,0.3
3.0,1.0,0.15,0.3
3.0,0.1,0.3,0.15
3.0,0.3,0.3,0.15
3.0,0.7,0.3,0.15
3.0,1.0,0.3,0.15
3.0,0.1,0.3,0.3
3.0,0.3,0.3,0.3
3.0,0.7,0.3,0.3
3.0,1.0,0.3,0.3
4.0,0.1,0.15,0.15
4.0,0.3,0.15,0.15
4.0,0.7,0.15,0.15
4.0,1.0,0.15,0.15
4.0,0.1,0.15,0.3
4.0,0.3,0.15,0.3
4.0,0.7,0.15,0.3
4.0,1.0,0.15,0.3
4.0,0.1,0.3,0.15
4.0,0.3,0.3,0.15
4.0,0.7,0.3,0.15
4.0,1.0,0.3,0.15
4.0,0.1,0.3,0.3
4.0,0.3,0.3,0.3
4.0,0.7,0.3,0.3
4.0,1.0,0.3,0.3
5.0,0.1,0.15,0.15
5.0,0.3,0.15,0.15
5.0,0.7,0.15,0.15
5.0,1.0,0.15,0.15
5.0,0.1,0.15,0.3
5.0,0.3,0.15,0.3
5.0,0.7,0.15,0.3
5.0,1.0,0.15,0.3
5.0,0.1,0.3,0.15
5.0,0.3,0.3,0.15
5.0,0.7,0.3,0.15
5.0,1.0,0.3,0.15
5.0,0.1,0.3,0.3
5.0,0.3,0.3,0.3
5.0,0.7,0.3,0.3
5.0,1.0,0.3,0.3
